Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2019-06-23 21:02:27.142 -0500,"Failure",0:00:00,1,0,0,"20190623_210227.142/LogFile.txt","","SRUN_InvalidValueExpr -- Unable to take value of expression ' {\r⏎	""DEFAULT"":{\r⏎		""applicaiton"":""C:\\Users\\rc050176\\eclipse\\java-2019-06\\eclipse\\eclipse.exe"",\r⏎...' (reason: (null))",0
2019-06-23 21:02:56.692 -0500,"Failure",0:00:00,1,0,0,"20190623_210256.692/LogFile.txt","","SRUN_InvalidValueExpr -- Unable to take value of expression ' {\r⏎	""DEFAULT"":{\r⏎		""applicaiton"":""C:\\Users\\rc050176\\eclipse\\java-2019-06\\eclipse\\eclipse.exe"",\r⏎...' (reason: (null))",0
2019-06-23 21:03:27.467 -0500,"Failure",0:00:00,1,0,0,"20190623_210327.467/LogFile.txt","","SRUN_InvalidValueExpr -- Unable to take value of expression ' {\r⏎	""applicaiton"":""C:\\Users\\rc050176\\eclipse\\java-2019-06\\eclipse\\eclipse.exe"",\r⏎	""remoteWorkInt...' (reason: (null))",0
2019-06-23 21:03:44.933 -0500,"Failure",0:00:00,1,0,0,"20190623_210344.933/LogFile.txt","","SRUN_InvalidValueExpr -- Unable to take value of expression ' {\r⏎	""application"":""C:\\Users\\rc050176\\eclipse\\java-2019-06\\eclipse\\eclipse.exe"",\r⏎	""remoteWorkInt...' (reason: (null))",0
2019-06-23 21:05:35.502 -0500,"Failure",0:00:00,1,0,0,"20190623_210535.502/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'initializeresourcedata'",0
2019-06-23 21:07:53.906 -0500,"Failure",0:00:00,1,0,0,"20190623_210753.906/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'initializeresourcedata'",0
2019-06-23 21:10:28.706 -0500,"Failure",0:00:00,1,0,0,"20190623_211028.706/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'initializeresourcedata'",0
2019-06-23 21:12:52.942 -0500,"Failure",0:00:01,3,0,0,"20190623_211252.942/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'Util/Verify'.",0
2019-06-23 21:14:40.125 -0500,"Failure",0:00:04,2,0,0,"20190623_211440.125/LogFile.txt","","Script Error -- Number of Errors logged: 2",0
2019-06-23 21:17:11.514 -0500,"Aborted",0:00:58,1,0,0,"20190623_211711.514/LogFile.txt","","",0
2019-06-23 21:18:11.715 -0500,"Aborted",0:03:18,1,0,0,"20190623_211811.715/LogFile.txt","","",0
2019-06-23 21:21:31.767 -0500,"Aborted",0:01:25,1,0,0,"20190623_212131.767/LogFile.txt","","",0
2019-06-23 21:30:31.993 -0500,"Success",0:00:21,0,0,0,"20190623_213031.993/LogFile.txt","","",1
